Name,Stock,Color,Notes,Category,Period,Fragile,Alter,Image,Batteries,BatteryType,Secure
vodka bottle,3,glass,,glassware,,TRUE,,,,,
lantern,1,black,,lighting,,,,,,,
small glasses,22,glass,,crockery,,TRUE,,,,,
champagne flutes small,1,glass,,glassware,,TRUE,,,,,
glass,1,glass,,glassware,,TRUE,,,,,
beer stein,5,glass,,glassware,,TRUE,,,,,
rum bottle,1,glass (monkey detail),,glassware,,TRUE,,,,,
wine bottles,5,glass clear,1 missing lid,glassware,,TRUE,,,,,
white painted beer bottles,1,glass (painted white) ,,glassware,,TRUE,,,,,
small bottle,1,green glass,,glassware,,TRUE,,,,,
square bottle,2,glass,,glassware,,TRUE,,,,,
fly swatter,1,light blue,,misc,,,,,,,
bowl,1,glass,,crockery,,TRUE,,,,,
candlestick ,1,glass,waxy,homeware,,,,,,,
beer bottle,4,"brown, green or clear glass",,glassware,,TRUE,,,,,
bowls,2,white,,crockery,,TRUE,,,,,
jug,2,glass,,crockery,,TRUE,,,,,
ornate decanter,2,glass,1 with no stopper,glassware,,TRUE,,,,,
jack daniels bottle,2,glass,,glassware,,TRUE,,,,,
jug ,1,glass (dark),,glassware,,TRUE,,,,,
wine bottles,2,dark green glass,,glassware,,TRUE,,,,,
whisky bottle,1,green glass,,glassware,,TRUE,,,,,
drinking glasses,1,painted gold,,glassware,,TRUE,,,,,
tumblers,7,plastic (blue tinge) ,,glassware,,,,,,,
jug,1,white ,missing handle and lid,crockery,,,,,,,
vase ,1,silver,,decoration,,TRUE,,,,,
milk jug,1,white (flower and fruit detail),,crockery,,,,,,,
teacup,3,white (simple flowers),,crockery,,TRUE,,,,,
bowl - very round,1,plastic,,crockery,,,,,,,
sherry glases,4,"glass, 3x gold trim, 1x green trim",,glassware,,TRUE,,,,,
small jug,1,metal,,crockery,,,,,,,
lampshade,2,yellow glass,1 doesn't have lamp base,lighting,,TRUE,,,,,
beer mug,1,white ceramic,,crockery,,TRUE,,,,,
dish,1,metal,,crockery,,,,,,,
octagonal plate,1,white with flower pattern,,crockery,,,,,,,
plastic steak ,1,brown,,food,,,,,,,
fake orange,1,orange,,food,,,,,,,
walking stick,1,brown - wooden,Tape on bottom,costume,,,,,,,
sword,1,silver,,weaponry,,,,,,,
sewing box,1,brown,,costume,,,,,,,
talcum powder bottle,1,red,,misc,,,,,,,
vegetable oil bottle,1,plastic,,food,,,,,,,
grenadine bottle,1,green glass,,glassware,,TRUE,,,,,
brain juice labelled bottle,1,green glass,,misc,,,,,,,
lamp base,1,gold,non functioning,lighting,,,,,,,
lamp,1,blue,,lighting,,,,,,,
boom box,1,silver,non functioning,electrical,,,,,,,
mirror and stand,2,brown,,homeware,,,,,,,
english dictionary,1,black,missing some pages,books,,,,,,,
lamp stand,1,gold,non functioning,electrical,,,,,,,
wooden record holder with records,1,brown,,storage,,,,,,,
bucket,1,black plastic,,misc,,,,,,,
wastepaper bin,1,wicker - brown,slighly broken on top,homeware,,,,,,,
puppet (evil noddy),1,various,,misc,,,,,,,
fake legs,1,black,,misc,,,,,,,
cow head,1,brown,,misc,,,,,,,
toolbox,1,blue metal,,misc,,,,,,,
grammarphone,1,brown and gold,,homeware,,,,,,,
overhead projector and stand,1,white,,electrical,,,,,,,
burlap sack,1,brown,,storage,,,,,,,
polariod camera,1,silver,doesn't work,electrical,,,,,,,
rotart phone,1,cream,,electrical,,,,,,,
connected landline phones,1,cream/white,,electrical,,,,,,,
video camera,1,silver and black,,electrical,60s,,,,,,
torches,1,black,Doesn't work,electrical,,,,,,,
calculator,1,grey,screen broken,electrical,,,,,,,
wireless phones,2,silver,,electrical,,,,,,,
tape player,1,black,,electrical,,,,,,,
cctv cameras,2,black,,electrical,,,,,,,
remotes,4,"1 x black, 3x grey",,electrical,,,,,,,
table microphone,1,silver,,electrical,retro,,,,,,
walkie talkies,2,yellow,,electrical,,,,,,,
radio,1,brown,,electrical,,,,,,,
tape,3,plastic,,electrical,,,,,,,
radio box,1,orange,,electrical,,,,,,,
alarm clock,1,white,,electrical,,,,,,,
clock,1,wooden brown,,electrical,,,,,,,
dolls voice box,1,white,,electrical,,,,,,,
record player,1,black,,electrical,,,,,,,
clipboards,5,blue,,stationery,,,,,,,
notebooks,8,various colours and sizes,,stationery,,,,,,,
diary,1,blue,,stationery,,,,,,,
refill pads,3,blue,,stationery,,,,,,,
ringbinder folder,1,green,,stationery,,,,,,,
coloured pencils,1,various,,stationery,,,,,,,
mug,1,white,,crockery,,TRUE,,,,,
cds,4,various,,electrical,,,,,,,
chalk,1,various,,stationery,,,,,,,
lightbulb,1,pink,,lighting,,TRUE,,,,,
memo board,1,black,,stationery,,,,,,,
picture frame,1,black,,decoration,,,,,,,
bibles,2,brown/black,,books,,,,,,,
hardback books,50,various,various conditions,books,,,,,,,
video cassette tapes,7,various,various conditions,misc,,,,,,,
pocket address book,1,black,,stationery,,,,,,,
paperback books,53,various,various conditions,books,,,,,,,
truncheon,1,black,,weaponry,,,,,,,TRUE
meat cleaver,1,sliver,,weaponry,,,,,,,TRUE
bread knife,1,silver,,weaponry,,,,,,,TRUE
kinfe,1,sliver,,weaponry,,,,,,,TRUE
knuckle dusters,1,silver,,weaponry,,,,,,,TRUE
flick knife,1,sliver and black,missing blade,weaponry,,,,,,,TRUE
dagger,1,gold and black,broken handle,weaponry,,,,,,,TRUE
foam knife,1,silver,,weaponry,,,,,,,
machete,1,black,,weaponry,,,,,,,TRUE
training knife,1,black,,weaponry,,,,,,,TRUE
musket,1,black and gold,,weaponry,,,,,,,TRUE
gun,1,black,"slightly broken, paint splattered",weaponry,,,,,,,TRUE
gun (rubber),1,black,paint splattered,weaponry,,,,,,,TRUE
stun guns,2,yellow,1 broken grip,weaponry,,,,,,,TRUE
ash tray,1,gold,rusted,glassware,,TRUE,,,,,
electric candle,1,white,,electrical,Batteries,,,,Batteries,,
LOVE picture frame,1,cream,,homeware,,TRUE,,,,,
HOME kinickkanck,1,various,,homeware,,,,,,,
oil burner,1,blue,,lighting,,,,,,,TRUE
girl with dog figure,1,various,,homeware,,,,,,,
girl and boy with dogs figure,1,various,,homeware,,,,,,,
electric lantern,1,grey,,lighting,Batteries,,,,Batteries,,
stethescope,1,silver and black,,medical,,,,,,,
Notice Board,1,Brown,Dented slightly,signs,,,,,,,
Painting of the Queen (presumably),1,Various,,decoration,,,,,,,
Cricket Bat,1,Brown with Black Handle,Chipped and Worn,sports,,,,,,,
Lamp,2,Blue,Mixture of 15 and 13A plugs,lighting,,,,,,,
animal mask (goat and fox),1,1 black 1 brown ,Slight crack on brown ,headware,,,,,,,
Hair Clip,1,Gold and Crystal,Visibly aged,headware,,,,,,,
Ball and chain,2,Rusted silver,,decoration,,,,,,,
Hankie,1,"Pink, purple w/ flowers",slightly stained,misc,,,,,,,
Snake mask,1,snake skin,,headware,,,,,,,
Glass Bell,1,Clear w/ yellow flower decoration,chip on flower,misc,,,,,,,
Police Batton (Club),1,Black,Dents,weaponry,,,,,,,
London Victoria Station Sign,1,White w black writing,worn on edges and scratched,signs,,,,,,,
Plague Witch Doctor Mask,1,Black,Paint peeling from mask,headware,,,,,,,
Kimono Belt,1,Blue w Decoration,,costume,,,,,,,
Dart Board,1,"White, Black, Red, Blue, Yellow",,sports,,,,,,,
Festive Tie,1,Black Base w coloured baubles as decoration,Not working,costume,,,,,,,
Tie,3,All Blue Base w lined patterns,,costume,,,,,,,
Tie,3,Orange/Yellow and black striped,Rip on orange tie,costume,,,,,,,
Braces,1,Red,,costume,,,,,,,
Winter Scarves,3,"1 x burgundy, 1 x black and white striped and 1 x multi-coloured",Stains on burgundy tie,costume,,,,,,,
Tie,2,"1 x Mustard, 1 x Green",stains on mustard tie,costume,,,,,,,
Dressing Gown Drawstring,1,"Brown, Blue and White Plaid",,costume,,,,,,,
Scarf,1,Pink and White Floral Patterned,Hole left from safety pin,costume,,,,,,,
Scarf,1,"Red, Black and White Patterned",,costume,,,,,,,
Laptop,1,Black,Doesn't work,electrical,,,,,,,
Toy Rabbit,1,Pink,Stained and Marked,misc,,,,,,,
Shopping Basket,1,Metal with Blue Handles,Marks of Age,storage,,,,,,,
Army Helmet/Hats,7,"4 x Green, 3 x Silver",Dented slightly ,headware,,,,,,,
Retractable Dagger,1,Silver w black handle,Discoloured Blade,weaponry,,,,,,,
Police Helmet,1,Black,Cracked slightly on top,headware,,,,,,,
Workman Helmet,1,Red,,headware,,,,,,,
Helmet,1,Green,Scuffed and Marked,headware,,,,,,,
Gas Masks,2,Grey and Green,Stained ,headware,,,,,,,
Rubber Chicken,1,Red and Yellow,Marked ,animals,,,,,,,
Rubiks Cube,3,Various,,misc,,,,,,,
Hat,1,Dark Green  ,,headware,,,,,,,
Palm Tree Umbrellas,2,Green,,misc,,,,,,,
Antique Clock,1,Gold,Age Marks,homeware,,TRUE,,,,,
Syringes (multiple),1,Clear  ,,medical,,,,,,,
Cocktail Parasols,1,"Green, yellow, purple and silver",,misc,,,,,,,
Blood Pressure Checker (?),1,Blue,,medical,,,,,,,
Wedding Fascinator,1,White w decoration,,costume,,,,,,,
Plates,3,White w Floral Pattern (octagonal),Needs washing,crockery,,TRUE,,,,,
Mugs,3,White w Floral Pattern ,Needs washing ,crockery,,TRUE,,,,,
Small plate,1,Blue w. yellow bottom,Needs washing,crockery,,TRUE,,,,,
Side plates,4,White w. Floral Pattern (octagonal),Needs washing,crockery,,TRUE,,,,,
Saucers,3,White w. pattern,Needs washing,crockery,,TRUE,,,,,
Saucers,4,White w. Floral Pattern (octagonal),Needs washing ,crockery,,TRUE,,,,,
Ladle,1,Silver,Needs washing,crockery,,,,,,,
Gravy Boat,1,Silver,Needs washing,crockery,,,,,,,
Plates,4,Black,Needs washing,crockery,,TRUE,,,,,
Large Plate,1,White,Needs Washing,crockery,,TRUE,,,,,
Small plates,2,Yellow and white,Needs washing,crockery,,TRUE,,,,,
Small plates,9,white,Needs washing,crockery,,TRUE,,,,,
Small plates (misc),3,"blue and white, black, white ",Needs washing ,crockery,,TRUE,,,,,
Small Saucer,1,White w heart pattern,Needs washing,crockery,,TRUE,,,,,
Saucers,6,White and Black w floral pattern,Needs washing,crockery,,TRUE,,,,,
Ornate ash tray,1,White and Cream w gold pattern,Needs washing,crockery,,TRUE,,,,,
Crown,1,Bronze,Glued bobby pins on inside of crown,headware,,,,,,,
Devil Horns hairband,1,Red,,headware,,,,,,,
Fake Disguise Glasses,1,Black frames w fake nose and eyebrows,Eyebrows peeling,headware,,,,,,,
Rope,1,White,,misc,,,,,,,
Straw/Wicker Hat,1,Beige,,headware,,,,,,,
Knitted hat,1,Blue,,headware,,,,,,,
Scream Mask,1,Black and White,Marks on front mask,headware,,,,,,,
Sports Cap,1,Green and White,Marked on headband ,headware,,,,,,,
Retro Slip,1,"Black, White w. Red straps",,costume,,,,,,,
